method,task_id,episode,run_seed,success,length,ctrl_node,ctrl_subgoal_age,ctrl_num_switches,ctrl_num_fallbacks
graph,1,0,0,0.0,1000,50,99,1,0
graph,1,1,0,1.0,718,-1,17,9,0
graph,1,2,0,1.0,347,-1,6,7,0
graph,1,3,0,1.0,371,-1,10,6,0
graph,1,4,0,1.0,386,-1,5,5,0
graph,1,5,0,1.0,543,-1,2,10,0
graph,1,6,0,0.0,1000,-1,99,20,0
graph,1,7,0,0.0,1000,167,79,7,0
graph,1,8,0,1.0,728,-1,7,15,0
graph,1,9,0,1.0,283,-1,2,6,0
graph,1,10,0,1.0,765,-1,4,12,0
graph,1,11,0,0.0,1000,193,19,9,0
graph,1,12,0,1.0,389,-1,8,6,0
graph,1,13,0,1.0,671,-1,10,8,0
graph,1,14,0,1.0,530,-1,9,8,0
graph,1,15,0,0.0,1000,-1,19,18,0
graph,1,16,0,0.0,1000,-1,119,12,0
graph,1,17,0,1.0,598,-1,17,10,0
graph,1,18,0,1.0,449,-1,8,8,0
graph,1,19,0,1.0,816,-1,15,13,0
graph,2,0,0,1.0,910,-1,89,19,0
graph,2,1,0,1.0,637,-1,16,9,0
graph,2,2,0,0.0,1000,-1,79,16,0
graph,2,3,0,1.0,403,-1,2,5,0
graph,2,4,0,0.0,1000,181,19,16,0
graph,2,5,0,0.0,1000,181,99,20,0
graph,2,6,0,1.0,413,-1,72,4,0
graph,2,7,0,1.0,327,-1,66,6,0
graph,2,8,0,1.0,651,-1,50,9,0
graph,2,9,0,0.0,1000,83,79,5,0
graph,2,10,0,1.0,859,-1,38,17,0
graph,2,11,0,1.0,233,-1,52,4,0
graph,2,12,0,1.0,535,-1,34,9,0
graph,2,13,0,0.0,1000,92,59,10,0
graph,2,14,0,0.0,1000,49,19,7,0
graph,2,15,0,1.0,545,-1,44,11,0
graph,2,16,0,1.0,407,181,6,6,0
graph,2,17,0,1.0,261,181,60,4,0
graph,2,18,0,0.0,1000,-1,19,10,0
graph,2,19,0,1.0,482,-1,101,5,0
graph,3,0,0,1.0,242,-1,1,4,0
graph,3,1,0,1.0,469,-1,8,4,0
graph,3,2,0,1.0,274,-1,13,2,0
graph,3,3,0,1.0,280,-1,19,3,0
graph,3,4,0,1.0,159,-1,18,2,0
graph,3,5,0,1.0,352,-1,11,2,0
graph,3,6,0,1.0,602,-1,1,6,0
graph,3,7,0,1.0,336,-1,15,3,0
graph,3,8,0,0.0,1000,-1,19,9,0
graph,3,9,0,1.0,336,-1,15,2,0
graph,3,10,0,1.0,854,-1,13,11,0
graph,3,11,0,1.0,179,-1,18,2,0
graph,3,12,0,1.0,199,-1,38,2,0
graph,3,13,0,0.0,1000,42,79,2,0
graph,3,14,0,1.0,244,-1,3,2,0
graph,3,15,0,1.0,394,-1,13,2,0
graph,3,16,0,1.0,278,-1,17,2,0
graph,3,17,0,1.0,198,-1,17,3,0
graph,3,18,0,1.0,468,-1,7,4,0
graph,3,19,0,1.0,197,-1,16,3,0
graph,4,0,0,0.0,1000,231,19,14,0
graph,4,1,0,0.0,1000,147,59,9,0
graph,4,2,0,1.0,736,-1,15,9,0
graph,4,3,0,1.0,612,-1,11,10,0
graph,4,4,0,1.0,378,-1,17,4,0
graph,4,5,0,1.0,430,-1,9,3,0
graph,4,6,0,0.0,1000,-1,79,16,0
graph,4,7,0,0.0,1000,173,79,10,0
graph,4,8,0,1.0,594,-1,13,9,0
graph,4,9,0,1.0,797,-1,16,10,0
graph,4,10,0,1.0,602,-1,1,7,0
graph,4,11,0,1.0,679,-1,18,10,0
graph,4,12,0,0.0,1000,213,59,2,0
graph,4,13,0,1.0,648,-1,7,8,0
graph,4,14,0,0.0,1000,213,39,6,0
graph,4,15,0,1.0,579,-1,18,8,0
graph,4,16,0,0.0,1000,162,19,5,0
graph,4,17,0,1.0,844,-1,3,5,0
graph,4,18,0,0.0,1000,149,39,9,0
graph,4,19,0,0.0,1000,77,119,4,0
graph,5,0,0,1.0,252,-1,11,3,0
graph,5,1,0,0.0,1000,-1,59,15,0
graph,5,2,0,1.0,592,-1,11,13,0
graph,5,3,0,1.0,192,-1,11,4,0
graph,5,4,0,1.0,269,-1,8,3,0
graph,5,5,0,1.0,269,-1,8,5,0
graph,5,6,0,1.0,545,-1,4,8,0
graph,5,7,0,0.0,1000,126,59,17,0
graph,5,8,0,1.0,821,-1,0,14,0
graph,5,9,0,1.0,783,-1,2,13,0
graph,5,10,0,1.0,225,-1,4,3,0
graph,5,11,0,1.0,221,-1,0,2,0
graph,5,12,0,1.0,303,-1,2,4,0
graph,5,13,0,1.0,445,-1,4,5,0
graph,5,14,0,1.0,643,-1,2,11,0
graph,5,15,0,1.0,550,-1,9,7,0
graph,5,16,0,1.0,843,-1,2,14,0
graph,5,17,0,1.0,543,-1,2,6,0
graph,5,18,0,1.0,723,-1,2,12,0
graph,5,19,0,1.0,748,-1,7,9,0
