method,task_id,episode,run_seed,success,length
baseline,1,0,0,1.0,285
baseline,1,1,0,1.0,468
baseline,1,2,0,1.0,304
baseline,1,3,0,0.0,1000
baseline,1,4,0,1.0,421
baseline,1,5,0,1.0,301
baseline,1,6,0,1.0,342
baseline,1,7,0,1.0,572
baseline,1,8,0,0.0,1000
baseline,1,9,0,1.0,332
baseline,1,10,0,1.0,487
baseline,1,11,0,1.0,851
baseline,1,12,0,0.0,1000
baseline,1,13,0,1.0,278
baseline,1,14,0,1.0,245
baseline,1,15,0,0.0,1000
baseline,1,16,0,1.0,317
baseline,1,17,0,0.0,1000
baseline,1,18,0,1.0,706
baseline,1,19,0,0.0,1000
baseline,2,0,0,1.0,337
baseline,2,1,0,0.0,1000
baseline,2,2,0,1.0,364
baseline,2,3,0,1.0,312
baseline,2,4,0,1.0,788
baseline,2,5,0,0.0,1000
baseline,2,6,0,1.0,216
baseline,2,7,0,1.0,237
baseline,2,8,0,1.0,265
baseline,2,9,0,1.0,726
baseline,2,10,0,1.0,421
baseline,2,11,0,1.0,219
baseline,2,12,0,0.0,1000
baseline,2,13,0,0.0,1000
baseline,2,14,0,1.0,248
baseline,2,15,0,1.0,244
baseline,2,16,0,1.0,210
baseline,2,17,0,1.0,652
baseline,2,18,0,0.0,1000
baseline,2,19,0,0.0,1000
baseline,3,0,0,1.0,525
baseline,3,1,0,0.0,1000
baseline,3,2,0,1.0,542
baseline,3,3,0,1.0,340
baseline,3,4,0,0.0,1000
baseline,3,5,0,1.0,176
baseline,3,6,0,1.0,135
baseline,3,7,0,1.0,181
baseline,3,8,0,1.0,686
baseline,3,9,0,0.0,1000
baseline,3,10,0,0.0,1000
baseline,3,11,0,1.0,217
baseline,3,12,0,1.0,779
baseline,3,13,0,1.0,196
baseline,3,14,0,1.0,249
baseline,3,15,0,1.0,153
baseline,3,16,0,0.0,1000
baseline,3,17,0,1.0,431
baseline,3,18,0,1.0,312
baseline,3,19,0,1.0,997
baseline,4,0,0,1.0,978
baseline,4,1,0,1.0,521
baseline,4,2,0,0.0,1000
baseline,4,3,0,1.0,795
baseline,4,4,0,1.0,426
baseline,4,5,0,0.0,1000
baseline,4,6,0,1.0,437
baseline,4,7,0,1.0,355
baseline,4,8,0,0.0,1000
baseline,4,9,0,1.0,403
baseline,4,10,0,1.0,347
baseline,4,11,0,1.0,806
baseline,4,12,0,1.0,837
baseline,4,13,0,1.0,625
baseline,4,14,0,1.0,644
baseline,4,15,0,0.0,1000
baseline,4,16,0,1.0,370
baseline,4,17,0,0.0,1000
baseline,4,18,0,1.0,461
baseline,4,19,0,0.0,1000
baseline,5,0,0,1.0,366
baseline,5,1,0,1.0,608
baseline,5,2,0,1.0,917
baseline,5,3,0,1.0,268
baseline,5,4,0,1.0,256
baseline,5,5,0,1.0,590
baseline,5,6,0,1.0,285
baseline,5,7,0,1.0,520
baseline,5,8,0,0.0,1000
baseline,5,9,0,1.0,321
baseline,5,10,0,1.0,247
baseline,5,11,0,1.0,224
baseline,5,12,0,1.0,377
