method,task_id,episode,run_seed,success,length,ctrl_node,ctrl_subgoal_age,ctrl_num_switches,ctrl_num_fallbacks
graph,1,0,0,0.0,1000,-1,39,20,0
graph,1,1,0,0.0,1000,92,79,22,0
graph,1,2,0,0.0,1000,211,19,22,0
graph,1,3,0,0.0,1000,124,59,21,0
graph,1,4,0,0.0,1000,185,79,21,0
graph,1,5,0,0.0,1000,123,39,13,0
graph,1,6,0,1.0,903,-1,2,23,0
graph,1,7,0,0.0,1000,104,59,14,0
graph,1,8,0,0.0,1000,72,79,5,0
graph,1,9,0,1.0,727,-1,6,16,0
graph,1,10,0,0.0,1000,16,39,25,0
graph,1,11,0,0.0,1000,297,119,17,0
graph,1,12,0,1.0,411,-1,10,9,0
graph,1,13,0,0.0,1000,-1,19,22,0
graph,1,14,0,0.0,1000,39,39,25,0
graph,1,15,0,0.0,1000,156,59,23,0
graph,1,16,0,0.0,1000,136,39,24,0
graph,1,17,0,0.0,1000,124,39,27,0
graph,1,18,0,0.0,1000,81,19,17,0
graph,1,19,0,0.0,1000,157,39,23,0
graph,2,0,0,0.0,1000,126,19,25,0
graph,2,1,0,0.0,1000,267,19,27,0
graph,2,2,0,0.0,1000,32,19,23,0
graph,2,3,0,0.0,1000,212,99,24,0
graph,2,4,0,0.0,1000,212,19,21,0
graph,2,5,0,0.0,1000,243,19,25,0
graph,2,6,0,0.0,1000,168,59,9,0
graph,2,7,0,0.0,1000,127,39,26,0
graph,2,8,0,1.0,240,-1,39,5,0
graph,2,9,0,0.0,1000,10,79,25,0
graph,2,10,0,0.0,1000,198,19,29,0
graph,2,11,0,0.0,1000,32,59,28,0
graph,2,12,0,0.0,1000,44,19,29,0
graph,2,13,0,0.0,1000,181,19,28,0
graph,2,14,0,0.0,1000,69,19,28,0
graph,2,15,0,0.0,1000,181,19,25,0
graph,2,16,0,0.0,1000,181,19,28,0
graph,2,17,0,0.0,1000,264,39,24,0
graph,2,18,0,1.0,668,-1,67,18,0
graph,2,19,0,0.0,1000,16,39,22,0
graph,3,0,0,1.0,406,-1,5,10,0
graph,3,1,0,1.0,891,-1,10,22,0
graph,3,2,0,1.0,239,-1,18,5,0
graph,3,3,0,1.0,592,-1,11,16,0
graph,3,4,0,1.0,715,-1,14,15,0
graph,3,5,0,1.0,221,-1,0,5,0
graph,3,6,0,1.0,617,-1,16,10,0
graph,3,7,0,1.0,273,-1,12,5,0
graph,3,8,0,1.0,808,-1,7,22,0
graph,3,9,0,1.0,226,-1,5,4,0
graph,3,10,0,0.0,1000,-1,19,22,0
graph,3,11,0,0.0,1000,267,19,26,0
graph,3,12,0,1.0,616,-1,15,14,0
graph,3,13,0,1.0,439,-1,18,7,0
graph,3,14,0,0.0,1000,275,79,9,0
graph,3,15,0,0.0,1000,56,79,11,0
graph,3,16,0,1.0,979,-1,38,25,0
graph,3,17,0,1.0,259,-1,18,3,0
graph,3,18,0,1.0,460,-1,19,13,0
graph,3,19,0,0.0,1000,293,79,5,0
graph,4,0,0,1.0,999,-1,18,18,0
graph,4,1,0,0.0,1000,-1,19,18,0
graph,4,2,0,1.0,571,-1,10,12,0
graph,4,3,0,1.0,612,-1,11,11,0
graph,4,4,0,1.0,457,-1,16,8,0
graph,4,5,0,0.0,1000,239,79,3,0
graph,4,6,0,1.0,911,-1,10,15,0
graph,4,7,0,1.0,389,-1,8,8,0
graph,4,8,0,0.0,1000,208,39,4,0
graph,4,9,0,0.0,1000,162,119,13,0
graph,4,10,0,0.0,1000,239,119,11,0
graph,4,11,0,1.0,439,-1,18,10,0
graph,4,12,0,1.0,910,-1,9,21,0
graph,4,13,0,1.0,777,-1,16,20,0
graph,4,14,0,1.0,263,-1,2,6,0
graph,4,15,0,1.0,550,-1,9,12,0
graph,4,16,0,0.0,1000,93,39,21,0
graph,4,17,0,1.0,960,-1,19,21,0
graph,4,18,0,1.0,436,-1,15,10,0
graph,4,19,0,0.0,1000,86,59,13,0
graph,5,0,0,1.0,621,-1,0,13,0
graph,5,1,0,1.0,875,-1,14,22,0
graph,5,2,0,1.0,185,-1,4,5,0
graph,5,3,0,0.0,1000,158,39,18,0
graph,5,4,0,1.0,336,-1,15,6,0
graph,5,5,0,0.0,1000,215,39,25,0
graph,5,6,0,0.0,1000,-1,19,26,0
graph,5,7,0,1.0,483,-1,2,11,0
graph,5,8,0,1.0,837,-1,16,24,0
graph,5,9,0,0.0,1000,32,19,23,0
graph,5,10,0,1.0,721,-1,0,19,0
graph,5,11,0,0.0,1000,101,39,11,0
graph,5,12,0,1.0,639,-1,18,18,0
graph,5,13,0,0.0,1000,-1,19,28,0
graph,5,14,0,1.0,769,-1,8,20,0
graph,5,15,0,1.0,389,-1,8,9,0
graph,5,16,0,1.0,497,-1,16,14,0
graph,5,17,0,1.0,322,-1,1,8,0
graph,5,18,0,1.0,420,-1,19,10,0
graph,5,19,0,1.0,459,-1,18,14,0
