method,task_id,episode,run_seed,success,length,ctrl_node,ctrl_subgoal_age,ctrl_num_switches,ctrl_num_fallbacks
graph,1,0,0,0.0,1000,157,19,23,0
graph,1,1,0,0.0,1000,-1,19,15,0
graph,1,2,0,1.0,987,-1,6,15,0
graph,1,3,0,1.0,274,-1,13,7,0
graph,1,4,0,0.0,1000,157,19,14,0
graph,1,5,0,1.0,361,-1,0,7,0
graph,1,6,0,0.0,1000,276,119,12,0
graph,1,7,0,1.0,633,-1,12,10,0
graph,1,8,0,1.0,565,-1,4,10,0
graph,1,9,0,1.0,289,-1,8,4,0
graph,1,10,0,1.0,535,-1,14,13,0
graph,1,11,0,1.0,506,-1,5,10,0
graph,1,12,0,1.0,411,-1,10,6,0
graph,1,13,0,1.0,447,-1,6,10,0
graph,1,14,0,1.0,667,-1,6,14,0
graph,1,15,0,1.0,781,-1,0,17,0
graph,1,16,0,0.0,1000,-1,19,14,0
graph,1,17,0,1.0,436,-1,15,9,0
graph,1,18,0,1.0,409,-1,8,6,0
graph,1,19,0,1.0,424,-1,3,11,0
graph,2,0,0,0.0,1000,256,39,20,0
graph,2,1,0,0.0,1000,181,39,17,0
graph,2,2,0,1.0,719,181,18,6,0
graph,2,3,0,0.0,1000,82,19,9,0
graph,2,4,0,0.0,1000,74,79,13,0
graph,2,5,0,0.0,1000,152,39,23,0
graph,2,6,0,0.0,1000,74,39,11,0
graph,2,7,0,1.0,253,181,52,3,0
graph,2,8,0,1.0,358,181,57,4,0
graph,2,9,0,0.0,1000,145,19,6,0
graph,2,10,0,0.0,1000,77,59,8,0
graph,2,11,0,0.0,1000,134,19,14,0
graph,2,12,0,1.0,944,181,83,19,0
graph,2,13,0,1.0,284,-1,3,5,0
graph,2,14,0,0.0,1000,134,19,14,0
graph,2,15,0,1.0,513,181,72,10,0
graph,2,16,0,0.0,1000,-1,39,14,0
graph,2,17,0,0.0,1000,98,19,13,0
graph,2,18,0,0.0,1000,-1,99,15,0
graph,2,19,0,0.0,1000,-1,19,17,0
graph,3,0,0,1.0,257,-1,16,3,0
graph,3,1,0,1.0,485,-1,4,7,0
graph,3,2,0,1.0,414,-1,13,3,0
graph,3,3,0,1.0,375,-1,14,3,0
graph,3,4,0,0.0,1000,211,119,1,0
graph,3,5,0,1.0,189,-1,8,1,0
graph,3,6,0,0.0,1000,244,19,3,0
graph,3,7,0,1.0,305,-1,4,5,0
graph,3,8,0,1.0,326,-1,5,3,0
graph,3,9,0,1.0,301,-1,0,5,0
graph,3,10,0,1.0,184,-1,3,3,0
graph,3,11,0,1.0,188,-1,7,4,0
graph,3,12,0,0.0,1000,166,79,2,0
graph,3,13,0,1.0,592,-1,11,9,0
graph,3,14,0,1.0,192,-1,11,2,0
graph,3,15,0,1.0,298,-1,17,4,0
graph,3,16,0,0.0,1000,211,119,3,0
graph,3,17,0,1.0,353,-1,12,5,0
graph,3,18,0,1.0,363,-1,2,3,0
graph,3,19,0,1.0,242,-1,1,3,0
graph,4,0,0,0.0,1000,213,79,2,0
graph,4,1,0,0.0,1000,213,19,8,0
graph,4,2,0,0.0,1000,30,19,17,0
graph,4,3,0,0.0,1000,30,39,9,0
graph,4,4,0,1.0,331,-1,10,7,0
graph,4,5,0,1.0,334,-1,13,3,0
graph,4,6,0,1.0,725,-1,4,10,0
graph,4,7,0,1.0,765,-1,4,14,0
graph,4,8,0,0.0,1000,162,39,8,0
graph,4,9,0,1.0,438,-1,17,6,0
graph,4,10,0,1.0,646,-1,5,11,0
graph,4,11,0,1.0,392,-1,11,6,0
graph,4,12,0,1.0,403,-1,2,6,0
graph,4,13,0,1.0,418,-1,17,11,0
graph,4,14,0,0.0,1000,213,59,5,0
graph,4,15,0,1.0,706,-1,5,10,0
graph,4,16,0,0.0,1000,231,39,5,0
graph,4,17,0,1.0,683,-1,2,7,0
graph,4,18,0,1.0,763,-1,2,9,0
graph,4,19,0,1.0,971,-1,10,14,0
graph,5,0,0,1.0,196,-1,15,5,0
graph,5,1,0,1.0,185,-1,4,5,0
graph,5,2,0,1.0,627,-1,6,12,0
graph,5,3,0,0.0,1000,258,59,20,0
graph,5,4,0,1.0,273,-1,12,6,0
graph,5,5,0,1.0,263,-1,2,5,0
graph,5,6,0,1.0,675,-1,14,14,0
graph,5,7,0,1.0,636,-1,15,11,0
graph,5,8,0,1.0,292,-1,11,5,0
graph,5,9,0,1.0,252,-1,11,5,0
graph,5,10,0,1.0,215,-1,14,4,0
graph,5,11,0,1.0,265,-1,4,4,0
graph,5,12,0,1.0,335,-1,14,6,0
graph,5,13,0,1.0,778,-1,17,13,0
graph,5,14,0,1.0,722,-1,1,13,0
graph,5,15,0,1.0,641,-1,0,12,0
graph,5,16,0,1.0,298,-1,17,4,0
graph,5,17,0,1.0,811,-1,10,16,0
graph,5,18,0,1.0,428,-1,7,9,0
graph,5,19,0,1.0,247,-1,6,5,0
