method,task_id,episode,run_seed,success,length,ctrl_node,ctrl_subgoal_age,ctrl_num_switches,ctrl_num_fallbacks
graph,1,0,0,1.0,347,-1,6,19,0
graph,1,1,0,0.0,1000,197,9,86,0
graph,1,2,0,1.0,738,-1,7,29,0
graph,1,3,0,1.0,854,-1,3,40,0
graph,1,4,0,1.0,341,-1,0,17,0
graph,1,5,0,1.0,524,-1,3,31,0
graph,1,6,0,1.0,971,-1,0,59,0
graph,1,7,0,0.0,1000,258,9,84,0
graph,1,8,0,0.0,1000,343,9,87,0
graph,1,9,0,0.0,1000,623,9,69,0
graph,1,10,0,0.0,1000,178,39,31,0
graph,1,11,0,0.0,1000,451,19,86,0
graph,1,12,0,0.0,1000,690,9,61,0
graph,1,13,0,1.0,632,-1,1,33,0
graph,1,14,0,1.0,713,-1,2,38,0
graph,1,15,0,0.0,1000,111,9,91,0
graph,1,16,0,1.0,511,-1,0,40,0
graph,1,17,0,1.0,634,-1,3,37,0
graph,1,18,0,0.0,1000,466,9,71,0
graph,1,19,0,0.0,1000,121,19,75,0
graph,2,0,0,1.0,397,-1,6,12,0
graph,2,1,0,0.0,1000,-1,9,60,0
graph,2,2,0,1.0,317,-1,6,16,0
graph,2,3,0,1.0,269,-1,8,16,0
graph,2,4,0,0.0,1000,-1,9,45,0
graph,2,5,0,1.0,930,-1,9,39,0
graph,2,6,0,1.0,403,-1,2,18,0
graph,2,7,0,1.0,652,-1,1,34,0
graph,2,8,0,1.0,348,-1,7,14,0
graph,2,9,0,1.0,529,-1,8,17,0
graph,2,10,0,0.0,1000,-1,59,52,0
graph,2,11,0,0.0,1000,-1,9,24,0
graph,2,12,0,0.0,1000,508,29,34,0
graph,2,13,0,1.0,492,-1,1,13,0
graph,2,14,0,0.0,1000,-1,9,15,0
graph,2,15,0,0.0,1000,79,9,41,0
graph,2,16,0,0.0,1000,138,9,65,0
graph,2,17,0,0.0,1000,-1,9,13,0
graph,2,18,0,1.0,998,-1,7,36,0
graph,2,19,0,0.0,1000,-1,9,65,0
graph,3,0,0,0.0,1000,208,99,24,0
graph,3,1,0,1.0,324,-1,3,19,0
graph,3,2,0,0.0,1000,618,29,11,0
graph,3,3,0,0.0,1000,136,9,14,0
graph,3,4,0,1.0,294,-1,3,18,0
graph,3,5,0,1.0,305,-1,4,20,0
graph,3,6,0,1.0,399,-1,8,27,0
graph,3,7,0,1.0,258,-1,7,13,0
graph,3,8,0,1.0,791,-1,0,63,0
graph,3,9,0,0.0,1000,478,9,75,0
graph,3,10,0,1.0,176,-1,5,10,0
graph,3,11,0,1.0,144,-1,3,6,0
graph,3,12,0,1.0,386,-1,5,27,0
graph,3,13,0,1.0,512,-1,1,31,0
graph,3,14,0,1.0,511,-1,0,36,0
graph,3,15,0,1.0,181,-1,0,8,0
graph,3,16,0,1.0,597,-1,6,43,0
graph,3,17,0,1.0,860,-1,9,60,0
graph,3,18,0,1.0,341,-1,0,24,0
graph,3,19,0,1.0,695,-1,4,46,0
graph,4,0,0,0.0,1000,132,99,53,0
graph,4,1,0,0.0,1000,-1,9,88,0
graph,4,2,0,0.0,1000,-1,9,52,0
graph,4,3,0,0.0,1000,-1,9,5,0
graph,4,4,0,1.0,595,-1,4,47,0
graph,4,5,0,1.0,587,-1,6,46,0
graph,4,6,0,1.0,929,-1,8,63,0
graph,4,7,0,0.0,1000,40,9,80,0
graph,4,8,0,0.0,1000,124,9,75,0
graph,4,9,0,0.0,1000,241,19,78,0
graph,4,10,0,1.0,906,-1,5,75,0
graph,4,11,0,0.0,1000,-1,9,68,0
graph,4,12,0,0.0,1000,-1,29,15,0
graph,4,13,0,0.0,1000,389,9,67,0
graph,4,14,0,0.0,1000,124,29,76,0
graph,4,15,0,0.0,1000,463,89,17,0
graph,4,16,0,0.0,1000,-1,9,84,0
graph,4,17,0,0.0,1000,784,9,78,0
graph,4,18,0,0.0,1000,-1,9,26,0
graph,4,19,0,0.0,1000,-1,9,21,0
graph,5,0,0,1.0,902,-1,1,20,0
graph,5,1,0,1.0,293,-1,2,3,0
graph,5,2,0,1.0,422,-1,1,14,0
graph,5,3,0,0.0,1000,-1,9,51,0
graph,5,4,0,1.0,708,-1,7,23,0
graph,5,5,0,1.0,801,-1,0,29,0
graph,5,6,0,1.0,952,-1,1,43,0
graph,5,7,0,1.0,665,-1,4,10,0
graph,5,8,0,0.0,1000,-1,9,34,0
graph,5,9,0,0.0,1000,-1,9,43,0
graph,5,10,0,0.0,1000,-1,9,13,0
graph,5,11,0,0.0,1000,-1,9,32,0
graph,5,12,0,0.0,1000,-1,9,40,0
graph,5,13,0,0.0,1000,208,9,27,0
graph,5,14,0,1.0,276,-1,5,8,0
graph,5,15,0,1.0,289,-1,8,4,0
graph,5,16,0,0.0,1000,604,9,28,0
graph,5,17,0,0.0,1000,585,99,21,0
graph,5,18,0,0.0,1000,294,9,44,0
graph,5,19,0,1.0,598,-1,7,33,0
