method,task_id,episode,run_seed,success,length,ctrl_node,ctrl_subgoal_age,ctrl_num_switches,ctrl_num_fallbacks
graph,1,0,0,0.0,1000,131,19,33,0
graph,1,1,0,1.0,471,-1,10,14,0
graph,1,2,0,0.0,1000,201,19,20,0
graph,1,3,0,0.0,1000,294,19,29,0
graph,1,4,0,1.0,402,-1,1,14,0
graph,1,5,0,0.0,1000,83,19,34,0
graph,1,6,0,1.0,719,-1,18,20,0
graph,1,7,0,0.0,1000,156,19,31,0
graph,1,8,0,1.0,920,-1,39,25,0
graph,1,9,0,1.0,460,-1,19,11,0
graph,1,10,0,0.0,1000,38,99,20,0
graph,1,11,0,0.0,1000,40,19,35,0
graph,1,12,0,0.0,1000,106,59,30,0
graph,1,13,0,0.0,1000,117,19,29,0
graph,1,14,0,0.0,1000,211,19,32,0
graph,1,15,0,0.0,1000,221,19,30,0
graph,1,16,0,0.0,1000,156,39,33,0
graph,1,17,0,1.0,854,-1,13,26,0
graph,1,18,0,0.0,1000,276,39,32,0
graph,1,19,0,0.0,1000,136,19,25,0
graph,2,0,0,1.0,538,-1,37,20,0
graph,2,1,0,0.0,1000,160,19,34,0
graph,2,2,0,0.0,1000,32,39,42,0
graph,2,3,0,0.0,1000,181,19,39,0
graph,2,4,0,0.0,1000,267,19,35,0
graph,2,5,0,0.0,1000,127,19,44,0
graph,2,6,0,0.0,1000,212,119,21,0
graph,2,7,0,0.0,1000,42,19,40,0
graph,2,8,0,0.0,1000,198,19,39,0
graph,2,9,0,0.0,1000,200,39,28,0
graph,2,10,0,0.0,1000,286,39,37,0
graph,2,11,0,0.0,1000,264,19,41,0
graph,2,12,0,1.0,276,181,95,8,0
graph,2,13,0,0.0,1000,212,19,35,0
graph,2,14,0,0.0,1000,127,39,38,0
graph,2,15,0,0.0,1000,212,19,32,0
graph,2,16,0,0.0,1000,181,19,30,0
graph,2,17,0,0.0,1000,69,19,44,0
graph,2,18,0,0.0,1000,115,39,37,0
graph,2,19,0,1.0,888,-1,87,32,0
graph,3,0,0,1.0,498,-1,17,15,0
graph,3,1,0,1.0,625,-1,4,13,0
graph,3,2,0,1.0,277,-1,16,4,0
graph,3,3,0,1.0,342,-1,1,13,0
graph,3,4,0,1.0,612,-1,11,19,0
graph,3,5,0,1.0,305,-1,4,9,0
graph,3,6,0,1.0,275,-1,14,2,0
graph,3,7,0,1.0,182,-1,1,3,0
graph,3,8,0,1.0,645,-1,4,19,0
graph,3,9,0,1.0,225,-1,4,6,0
graph,3,10,0,1.0,335,-1,14,9,0
graph,3,11,0,1.0,188,-1,7,4,0
graph,3,12,0,0.0,1000,171,19,5,0
graph,3,13,0,1.0,222,-1,1,5,0
graph,3,14,0,1.0,174,-1,13,5,0
graph,3,15,0,1.0,662,-1,1,17,0
graph,3,16,0,0.0,1000,161,39,6,0
graph,3,17,0,1.0,181,-1,0,4,0
graph,3,18,0,1.0,718,-1,17,15,0
graph,3,19,0,1.0,899,-1,38,23,0
graph,4,0,0,1.0,382,-1,1,13,0
graph,4,1,0,1.0,730,-1,9,15,0
graph,4,2,0,1.0,757,-1,16,15,0
graph,4,3,0,0.0,1000,187,79,16,0
graph,4,4,0,0.0,1000,200,119,19,0
graph,4,5,0,1.0,827,-1,6,25,0
graph,4,6,0,0.0,1000,272,39,19,0
graph,4,7,0,0.0,1000,104,19,10,0
graph,4,8,0,1.0,543,-1,2,12,0
graph,4,9,0,0.0,1000,272,119,21,0
graph,4,10,0,0.0,1000,124,59,29,0
graph,4,11,0,1.0,991,-1,10,28,0
graph,4,12,0,0.0,1000,202,19,13,0
graph,4,13,0,0.0,1000,213,59,29,0
graph,4,14,0,1.0,606,-1,5,20,0
graph,4,15,0,0.0,1000,127,19,29,0
graph,4,16,0,0.0,1000,213,19,30,0
graph,4,17,0,0.0,1000,147,19,26,0
graph,4,18,0,0.0,1000,30,19,31,0
graph,4,19,0,1.0,686,-1,5,18,0
graph,5,0,0,1.0,876,-1,15,21,0
graph,5,1,0,0.0,1000,271,39,6,0
graph,5,2,0,0.0,1000,31,19,32,0
graph,5,3,0,0.0,1000,115,19,20,0
graph,5,4,0,1.0,619,-1,18,20,0
graph,5,5,0,0.0,1000,175,19,26,0
graph,5,6,0,1.0,505,-1,4,13,0
graph,5,7,0,1.0,259,-1,18,11,0
graph,5,8,0,0.0,1000,201,59,31,0
graph,5,9,0,0.0,1000,271,19,13,0
graph,5,10,0,1.0,659,-1,18,19,0
graph,5,11,0,1.0,788,-1,7,29,0
graph,5,12,0,1.0,233,-1,12,8,0
graph,5,13,0,0.0,1000,19,19,38,0
graph,5,14,0,0.0,1000,246,39,38,0
graph,5,15,0,1.0,219,-1,18,6,0
graph,5,16,0,1.0,647,-1,6,25,0
graph,5,17,0,1.0,631,-1,10,19,0
graph,5,18,0,0.0,1000,-1,39,32,0
graph,5,19,0,1.0,679,-1,18,18,0
