method,task_id,episode,run_seed,success,length,ctrl_node,ctrl_subgoal_age,ctrl_num_switches,ctrl_num_fallbacks
graph,1,0,0,0.0,1000,128,39,33,0
graph,1,1,0,0.0,1000,16,19,23,0
graph,1,2,0,1.0,480,-1,19,14,0
graph,1,3,0,0.0,1000,179,19,26,0
graph,1,4,0,0.0,1000,201,19,39,0
graph,1,5,0,0.0,1000,203,39,27,0
graph,1,6,0,0.0,1000,68,119,16,0
graph,1,7,0,0.0,1000,156,19,36,0
graph,1,8,0,0.0,1000,201,39,20,0
graph,1,9,0,0.0,1000,294,19,34,0
graph,1,10,0,1.0,787,-1,6,26,0
graph,1,11,0,1.0,927,-1,6,28,0
graph,1,12,0,0.0,1000,185,19,28,0
graph,1,13,0,0.0,1000,126,19,25,0
graph,1,14,0,0.0,1000,101,59,32,0
graph,1,15,0,0.0,1000,16,19,38,0
graph,1,16,0,1.0,867,-1,6,18,0
graph,1,17,0,0.0,1000,156,59,34,0
graph,1,18,0,1.0,836,-1,15,22,0
graph,1,19,0,0.0,1000,299,99,9,0
graph,2,0,0,0.0,1000,69,19,42,0
graph,2,1,0,0.0,1000,212,19,23,0
graph,2,2,0,0.0,1000,123,99,31,0
graph,2,3,0,0.0,1000,260,19,42,0
graph,2,4,0,1.0,765,-1,64,25,0
graph,2,5,0,1.0,418,-1,117,11,0
graph,2,6,0,0.0,1000,181,19,37,0
graph,2,7,0,0.0,1000,32,19,39,0
graph,2,8,0,0.0,1000,78,19,37,0
graph,2,9,0,0.0,1000,212,39,24,0
graph,2,10,0,0.0,1000,238,79,24,0
graph,2,11,0,0.0,1000,156,19,37,0
graph,2,12,0,0.0,1000,115,19,33,0
graph,2,13,0,0.0,1000,263,19,34,0
graph,2,14,0,0.0,1000,53,19,39,0
graph,2,15,0,0.0,1000,198,19,35,0
graph,2,16,0,0.0,1000,12,19,21,0
graph,2,17,0,0.0,1000,78,19,40,0
graph,2,18,0,0.0,1000,104,19,11,0
graph,2,19,0,0.0,1000,133,19,40,0
graph,3,0,0,1.0,352,-1,11,4,0
graph,3,1,0,1.0,177,-1,16,4,0
graph,3,2,0,1.0,291,-1,10,6,0
graph,3,3,0,1.0,571,-1,10,17,0
graph,3,4,0,1.0,979,-1,18,27,0
graph,3,5,0,1.0,247,-1,6,6,0
graph,3,6,0,1.0,237,-1,16,6,0
graph,3,7,0,0.0,1000,231,119,5,0
graph,3,8,0,0.0,1000,178,19,22,0
graph,3,9,0,1.0,218,-1,17,7,0
graph,3,10,0,0.0,1000,283,79,8,0
graph,3,11,0,1.0,410,-1,9,12,0
graph,3,12,0,1.0,280,-1,19,9,0
graph,3,13,0,1.0,421,-1,0,13,0
graph,3,14,0,0.0,1000,96,119,9,0
graph,3,15,0,1.0,407,-1,6,13,0
graph,3,16,0,1.0,286,-1,5,10,0
graph,3,17,0,1.0,489,-1,8,14,0
graph,3,18,0,1.0,240,-1,19,5,0
graph,3,19,0,0.0,1000,105,19,30,0
graph,4,0,0,1.0,695,-1,14,19,0
graph,4,1,0,1.0,783,-1,2,18,0
graph,4,2,0,0.0,1000,117,19,27,0
graph,4,3,0,1.0,462,-1,1,13,0
graph,4,4,0,0.0,1000,213,59,32,0
graph,4,5,0,1.0,363,-1,2,9,0
graph,4,6,0,0.0,1000,100,39,33,0
graph,4,7,0,1.0,804,-1,3,23,0
graph,4,8,0,0.0,1000,86,39,18,0
graph,4,9,0,0.0,1000,170,19,25,0
graph,4,10,0,0.0,1000,140,119,21,0
graph,4,11,0,1.0,831,-1,10,23,0
graph,4,12,0,0.0,1000,-1,19,30,0
graph,4,13,0,0.0,1000,98,39,17,0
graph,4,14,0,0.0,1000,213,19,28,0
graph,4,15,0,1.0,597,-1,36,11,0
graph,4,16,0,1.0,988,-1,7,31,0
graph,4,17,0,0.0,1000,213,19,28,0
graph,4,18,0,1.0,531,-1,10,10,0
graph,4,19,0,0.0,1000,68,99,15,0
graph,5,0,0,0.0,1000,88,19,40,0
graph,5,1,0,1.0,843,-1,2,28,0
graph,5,2,0,0.0,1000,88,19,39,0
graph,5,3,0,0.0,1000,161,59,35,0
graph,5,4,0,1.0,407,-1,6,15,0
graph,5,5,0,1.0,210,-1,9,6,0
graph,5,6,0,0.0,1000,258,19,38,0
graph,5,7,0,1.0,689,-1,8,28,0
graph,5,8,0,0.0,1000,271,39,6,0
graph,5,9,0,0.0,1000,170,19,36,0
graph,5,10,0,1.0,267,-1,6,10,0
graph,5,11,0,1.0,974,-1,13,26,0
graph,5,12,0,1.0,961,-1,0,39,0
graph,5,13,0,0.0,1000,119,59,21,0
graph,5,14,0,1.0,216,-1,15,7,0
graph,5,15,0,0.0,1000,295,19,35,0
graph,5,16,0,0.0,1000,105,19,31,0
graph,5,17,0,1.0,319,-1,18,8,0
graph,5,18,0,1.0,418,-1,17,12,0
graph,5,19,0,0.0,1000,126,19,40,0
