method,task_id,episode,run_seed,success,length,ctrl_node,ctrl_subgoal_age,ctrl_num_switches,ctrl_num_fallbacks
baseline,1,0,0,1.0,809,,,,
baseline,1,1,0,1.0,239,,,,
baseline,1,2,0,1.0,775,,,,
baseline,1,3,0,0.0,1000,,,,
baseline,1,4,0,1.0,874,,,,
baseline,2,0,0,1.0,879,,,,
baseline,2,1,0,1.0,483,,,,
baseline,2,2,0,1.0,265,,,,
baseline,2,3,0,1.0,251,,,,
baseline,2,4,0,1.0,291,,,,
baseline,3,0,0,1.0,313,,,,
baseline,3,1,0,1.0,409,,,,
baseline,3,2,0,1.0,235,,,,
baseline,3,3,0,1.0,347,,,,
baseline,3,4,0,1.0,181,,,,
baseline,4,0,0,1.0,484,,,,
baseline,4,1,0,0.0,1000,,,,
baseline,4,2,0,1.0,263,,,,
baseline,4,3,0,1.0,254,,,,
baseline,4,4,0,1.0,445,,,,
baseline,5,0,0,0.0,1000,,,,
baseline,5,1,0,1.0,199,,,,
baseline,5,2,0,1.0,193,,,,
baseline,5,3,0,1.0,189,,,,
baseline,5,4,0,1.0,201,,,,
graph,1,0,0,1.0,817,-1.0,16.0,7.0,0.0
graph,1,1,0,1.0,660,-1.0,19.0,5.0,0.0
graph,1,2,0,1.0,310,-1.0,9.0,4.0,0.0
graph,1,3,0,0.0,1000,-1.0,39.0,12.0,0.0
graph,1,4,0,0.0,1000,68.0,59.0,5.0,0.0
graph,2,0,0,1.0,224,-1.0,63.0,3.0,0.0
graph,2,1,0,0.0,1000,-1.0,119.0,15.0,0.0
graph,2,2,0,1.0,588,-1.0,27.0,11.0,0.0
graph,2,3,0,1.0,517,-1.0,116.0,8.0,0.0
graph,2,4,0,1.0,576,-1.0,95.0,6.0,0.0
graph,3,0,0,1.0,871,-1.0,10.0,10.0,0.0
graph,3,1,0,1.0,247,-1.0,6.0,2.0,0.0
graph,3,2,0,0.0,1000,-1.0,39.0,14.0,0.0
graph,3,3,0,1.0,819,-1.0,18.0,13.0,0.0
graph,3,4,0,1.0,792,-1.0,11.0,12.0,0.0
graph,4,0,0,0.0,1000,66.0,19.0,16.0,0.0
graph,4,1,0,1.0,589,-1.0,8.0,7.0,0.0
graph,4,2,0,0.0,1000,-1.0,19.0,19.0,0.0
graph,4,3,0,1.0,262,-1.0,1.0,4.0,0.0
graph,4,4,0,1.0,250,-1.0,9.0,4.0,0.0
graph,5,0,0,1.0,436,-1.0,15.0,5.0,0.0
graph,5,1,0,1.0,559,-1.0,18.0,10.0,0.0
graph,5,2,0,1.0,290,-1.0,9.0,4.0,0.0
graph,5,3,0,1.0,666,-1.0,5.0,14.0,0.0
graph,5,4,0,1.0,431,-1.0,10.0,6.0,0.0
